DriverID,SeasonRefID
27657,2
27657,5
27657,6
27657,7
27657,8
16856,3
16856,4
12117,1
22370,9
9589,10
9589,11
9589,17
9972,12
10639,13
10639,19
17576,14
17576,16
16926,15
17075,21
15567,20
15567,22
15567,24
13319,18
14669,29
17148,23
17148,25
17951,26
17951,28
17951,35
18292,30
17408,27
17108,31
17873,33
31253,32
31253,34
31253,38
20144,36
20144,37
20144,40
20144,41
20144,42
20144,43
20144,44
19579,43
21996,39
21996,41
21996,42
25109,49
25109,50
25206,45
25206,46
25206,51
25206,52
25206,53
25206,54
25206,55
22176,47
26032,48
29239,60
29145,58
29796,56
31225,67
31054,59
31054,65
31054,66
31054,68
31054,69
31054,70
31054,71
31961,61
31961,62
31961,63
31961,64
15914,72
