DriverID,SeasonRefID,Points
15914,72,369.5
31054,72,369.5
32748,72,218
10735,72,190
10020,72,158
36477,72,154
15443,72,149.5
32690,72,115
35102,72,100
29796,72,77
28602,72,72
31961,72,43
13204,72,34
36657,72,20
12446,72,16
29145,72,10
34879,72,7
9068,72,3
36241,72,0
31023,72,0
36221,72,0
31054,73,0
31961,73,0
10735,73,0
32690,73,0
32748,73,0
20545,73,0
15443,73,0
15914,73,0
28602,73,0
35102,73,0
13204,73,0
10020,73,0
27075,73,0
36477,73,0
12446,73,0
34879,73,0
36241,73,0
36657,73,0
866,73,0
29796,73,0
