name,GrandPrixID
Australian Grand Prix,1
Malaysian Grand Prix,2
Chinese Grand Prix,3
Bahrain Grand Prix,4
Spanish Grand Prix,5
Monaco Grand Prix,6
Turkish Grand Prix,7
British Grand Prix,8
German Grand Prix,9
Hungarian Grand Prix,10
European Grand Prix,11
Belgian Grand Prix,12
Italian Grand Prix,13
Singapore Grand Prix,14
Japanese Grand Prix,15
Brazilian Grand Prix,16
Abu Dhabi Grand Prix,17
Canadian Grand Prix,18
French Grand Prix,19
United States Grand Prix,20
San Marino Grand Prix,21
Austrian Grand Prix,22
Argentine Grand Prix,23
Luxembourg Grand Prix,24
Portuguese Grand Prix,25
Pacific Grand Prix,26
South African Grand Prix,27
Mexican Grand Prix,28
Korean Grand Prix,29
Detroit Grand Prix,30
Dutch Grand Prix,31
Dallas Grand Prix,32
United States Grand Prix West,33
Swiss Grand Prix,34
Caesars Palace Grand Prix,35
Swedish Grand Prix,36
Indianapolis 500,37
Moroccan Grand Prix,38
Pescara Grand Prix,39
Indian Grand Prix,40
Russian Grand Prix,41
Azerbaijan Grand Prix,42
Styrian Grand Prix,43
70th Anniversary Grand Prix,44
Tuscan Grand Prix,45
Eifel Grand Prix,46
Emilia Romagna Grand Prix,47
Sakhir Grand Prix,48
Qatar Grand Prix,49
Mexico City Grand Prix,50
São Paulo Grand Prix,51
Saudi Arabian Grand Prix,52
Miami Grand Prix,53
