Season,SeasonID,SeasonURL
1950,1,http://en.wikipedia.org/wiki/1950_Formula_One_season
1951,2,http://en.wikipedia.org/wiki/1951_Formula_One_season
1952,3,http://en.wikipedia.org/wiki/1952_Formula_One_season
1953,4,http://en.wikipedia.org/wiki/1953_Formula_One_season
1954,5,http://en.wikipedia.org/wiki/1954_Formula_One_season
1955,6,http://en.wikipedia.org/wiki/1955_Formula_One_season
1956,7,http://en.wikipedia.org/wiki/1956_Formula_One_season
1957,8,http://en.wikipedia.org/wiki/1957_Formula_One_season
1958,9,http://en.wikipedia.org/wiki/1958_Formula_One_season
1959,10,http://en.wikipedia.org/wiki/1959_Formula_One_season
1960,11,http://en.wikipedia.org/wiki/1960_Formula_One_season
1961,12,http://en.wikipedia.org/wiki/1961_Formula_One_season
1962,13,http://en.wikipedia.org/wiki/1962_Formula_One_season
1963,14,http://en.wikipedia.org/wiki/1963_Formula_One_season
1964,15,http://en.wikipedia.org/wiki/1964_Formula_One_season
1965,16,http://en.wikipedia.org/wiki/1965_Formula_One_season
1966,17,http://en.wikipedia.org/wiki/1966_Formula_One_season
1967,18,http://en.wikipedia.org/wiki/1967_Formula_One_season
1968,19,http://en.wikipedia.org/wiki/1968_Formula_One_season
1969,20,http://en.wikipedia.org/wiki/1969_Formula_One_season
1970,21,http://en.wikipedia.org/wiki/1970_Formula_One_season
1971,22,http://en.wikipedia.org/wiki/1971_Formula_One_season
1972,23,http://en.wikipedia.org/wiki/1972_Formula_One_season
1973,24,http://en.wikipedia.org/wiki/1973_Formula_One_season
1974,25,http://en.wikipedia.org/wiki/1974_Formula_One_season
1975,26,http://en.wikipedia.org/wiki/1975_Formula_One_season
1976,27,http://en.wikipedia.org/wiki/1976_Formula_One_season
1977,28,http://en.wikipedia.org/wiki/1977_Formula_One_season
1978,29,http://en.wikipedia.org/wiki/1978_Formula_One_season
1979,30,http://en.wikipedia.org/wiki/1979_Formula_One_season
1980,31,http://en.wikipedia.org/wiki/1980_Formula_One_season
1981,32,http://en.wikipedia.org/wiki/1981_Formula_One_season
1982,33,http://en.wikipedia.org/wiki/1982_Formula_One_season
1983,34,http://en.wikipedia.org/wiki/1983_Formula_One_season
1984,35,http://en.wikipedia.org/wiki/1984_Formula_One_season
1985,36,http://en.wikipedia.org/wiki/1985_Formula_One_season
1986,37,http://en.wikipedia.org/wiki/1986_Formula_One_season
1987,38,http://en.wikipedia.org/wiki/1987_Formula_One_season
1988,39,http://en.wikipedia.org/wiki/1988_Formula_One_season
1989,40,http://en.wikipedia.org/wiki/1989_Formula_One_season
1990,41,http://en.wikipedia.org/wiki/1990_Formula_One_season
1991,42,http://en.wikipedia.org/wiki/1991_Formula_One_season
1992,43,http://en.wikipedia.org/wiki/1992_Formula_One_season
1993,44,http://en.wikipedia.org/wiki/1993_Formula_One_season
1994,45,http://en.wikipedia.org/wiki/1994_Formula_One_season
1995,46,http://en.wikipedia.org/wiki/1995_Formula_One_season
1996,47,http://en.wikipedia.org/wiki/1996_Formula_One_season
1997,48,http://en.wikipedia.org/wiki/1997_Formula_One_season
1998,49,http://en.wikipedia.org/wiki/1998_Formula_One_season
1999,50,http://en.wikipedia.org/wiki/1999_Formula_One_season
2000,51,http://en.wikipedia.org/wiki/2000_Formula_One_season
2001,52,http://en.wikipedia.org/wiki/2001_Formula_One_season
2002,53,http://en.wikipedia.org/wiki/2002_Formula_One_season
2003,54,http://en.wikipedia.org/wiki/2003_Formula_One_season
2004,55,http://en.wikipedia.org/wiki/2004_Formula_One_season
2005,56,http://en.wikipedia.org/wiki/2005_Formula_One_season
2006,57,http://en.wikipedia.org/wiki/2006_Formula_One_season
2007,58,http://en.wikipedia.org/wiki/2007_Formula_One_season
2008,59,http://en.wikipedia.org/wiki/2008_Formula_One_season
2009,60,http://en.wikipedia.org/wiki/2009_Formula_One_season
2010,61,http://en.wikipedia.org/wiki/2010_Formula_One_season
2011,62,http://en.wikipedia.org/wiki/2011_Formula_One_season
2012,63,http://en.wikipedia.org/wiki/2012_Formula_One_season
2013,64,http://en.wikipedia.org/wiki/2013_Formula_One_season
2014,65,http://en.wikipedia.org/wiki/2014_Formula_One_season
2015,66,http://en.wikipedia.org/wiki/2015_Formula_One_season
2016,67,http://en.wikipedia.org/wiki/2016_Formula_One_season
2017,68,http://en.wikipedia.org/wiki/2017_Formula_One_season
2018,69,http://en.wikipedia.org/wiki/2018_Formula_One_season
2019,70,http://en.wikipedia.org/wiki/2019_Formula_One_season
2020,71,http://en.wikipedia.org/wiki/2020_Formula_One_season
2021,72,http://en.wikipedia.org/wiki/2021_Formula_One_season
2022,73,http://en.wikipedia.org/wiki/2022_Formula_One_season
