driverNumberID,number,driverID,constructorID,season,sub,retired
1,47,838,,2016,TRUE,
2,2,838,,2017,,
3,2,838,,2018,,
4,2,858,3,2023,,
5,3,817,,2014,,
6,3,817,,2015,,
7,3,817,,2016,,
8,3,817,,2017,,
9,3,817,,2018,,
10,3,817,,2019,,
11,3,817,,2020,,
12,3,817,,2021,,
13,3,817,,2022,,
14,3,817,213,2023,,
15,4,820,,2014,,
16,4,846,,2019,,
17,4,846,,2020,,
18,4,846,,2021,,
19,4,846,,2022,,
20,4,846,1,2023,,
21,1,20,,2014,,
22,5,20,,2015,,
23,5,20,,2016,,
24,5,20,,2017,,
25,5,20,,2018,,
26,5,20,,2019,,
27,5,20,,2020,,
28,5,20,,2021,,
29,5,20,,2022,,
30,6,3,,2014,,
31,6,3,,2015,,
32,6,3,,2016,,
33,6,849,,2020,,
34,6,849,,2021,,
35,6,849,,2022,,
36,7,8,,2014,,
37,7,8,,2015,,
38,7,8,,2016,,
39,7,8,,2017,,
40,7,8,,2018,,
41,7,8,,2019,,
42,7,8,,2020,,
43,7,8,,2021,,
44,8,154,,2014,,
45,8,154,,2015,,
46,8,154,,2016,,
47,8,154,,2017,,
48,8,154,,2018,,
49,8,154,,2019,,
50,8,154,,2020,,
51,9,828,,2014,,
52,9,828,,2015,,
53,9,828,,2016,,
54,9,828,,2017,,
55,9,828,,2018,,
56,9,853,,2021,,
57,10,155,,2014,,
58,10,842,,2017,,
59,10,842,,2018,,
60,10,842,,2019,,
61,10,842,,2020,,
62,10,842,,2021,,
63,10,842,,2022,,
64,10,842,214,2023,,
65,11,815,,2014,,
66,11,815,,2015,,
67,11,815,,2016,,
68,11,815,,2017,,
69,11,815,,2018,,
70,11,815,,2019,,
71,11,815,,2020,,
72,11,815,,2021,,
73,11,815,,2022,,
74,11,815,9,2023,,
75,12,831,,2015,,
76,12,831,,2016,,
77,13,813,,2014,,
78,13,813,,2015,,
79,14,4,,2014,,
80,14,4,,2015,,
81,14,4,,2016,,
82,14,4,,2017,,
83,14,4,,2018,,
84,14,4,,2019,,
85,14,4,,2020,,
86,14,4,,2021,,
87,14,4,,2022,,
88,14,4,117,2023,,
89,16,844,,2018,,
90,16,844,,2019,,
91,16,844,,2020,,
92,16,844,,2021,,
93,16,844,,2022,,
94,16,844,6,2023,,
95,17,824,,2014,,TRUE
96,18,840,,2017,,
97,18,840,,2018,,
98,18,840,,2019,,
99,18,840,,2020,,
100,18,840,,2021,,
101,18,840,,2022,,
102,18,840,117,2023,,
103,19,13,,2014,,
104,19,13,,2015,,
105,19,13,,2016,,
106,19,13,,2017,,
107,20,825,,2014,,
108,20,825,,2015,,
109,20,825,,2016,,
110,20,825,,2017,,
111,20,825,,2018,,
112,20,825,,2019,,
113,20,825,,2020,,
114,20,825,,2021,,
115,20,825,,2022,,
116,20,825,210,2023,,
117,21,821,,2014,,
118,21,821,,2015,,
119,21,821,,2016,,
120,45,856,,2022,TRUE,
121,21,856,213,2023,,
122,22,18,,2014,,
123,22,18,,2015,,
124,22,18,,2016,,
125,22,18,,2017,,
126,22,852,,2021,,
127,22,852,,2022,,
128,22,852,213,2023,,
129,23,848,,2019,,
130,23,848,,2020,,
131,23,848,,2021,,
132,23,848,,2022,,
133,23,848,3,2023,,
134,24,855,,2022,,
135,24,855,51,2023,,
136,25,818,,2014,,
137,26,826,,2014,,
138,26,826,,2015,,
139,26,826,,2016,,
140,26,826,,2017,,
141,26,826,,2018,,
142,26,826,,2019,,
143,26,826,,2020,,
144,27,807,,2014,,
145,27,807,,2015,,
146,27,807,,2016,,
147,27,807,,2017,,
148,27,807,,2018,,
149,27,807,,2019,,
150,27,807,,2020,,
151,27,807,,2021,,
152,27,807,,2022,,
153,27,807,210,2023,,
154,46,829,,2014,TRUE,
155,28,829,,2015,,
156,39,843,,2017,TRUE,
157,28,843,,2017,,
158,28,843,,2018,,
159,30,835,,2016,,
160,30,835,,2017,,
161,31,839,,2016,,
162,31,839,,2017,,
163,31,839,,2018,,
164,31,839,,2019,,
165,31,839,,2020,,
166,31,839,,2021,,
167,31,839,,2022,,
168,31,839,214,2023,,
169,33,830,,2015,,
170,33,830,,2016,,
171,33,830,,2017,,
172,33,830,,2018,,
173,33,830,,2019,,
174,33,830,,2020,,
175,33,830,,2021,,
176,1,830,,2022,,
177,1,830,9,2023,,
178,35,845,,2018,,
179,44,1,,2014,,
180,44,1,,2015,,
181,44,1,,2016,,
182,44,1,,2017,,
183,44,1,,2018,,
184,44,1,,2019,,
185,44,1,,2020,,
186,44,1,,2021,,
187,44,1,,2022,,
188,44,1,131,2023,,
189,47,854,,2021,,
190,47,854,,2022,,
191,42,834,,2014,TRUE,
192,53,834,,2015,,
193,55,832,,2015,,
194,55,832,,2016,,
195,55,832,,2017,,
196,55,832,,2018,,
197,55,832,,2019,,
198,55,832,,2020,,
199,55,832,,2021,,
200,55,832,,2022,,
201,55,832,6,2023,,
202,63,847,,2019,,
203,63,847,,2020,,
204,63,847,,2021,,
205,63,847,,2022,,
206,63,847,131,2023,,
207,77,822,,2014,,
208,77,822,,2015,,
209,77,822,,2016,,
210,77,822,,2017,,
211,77,822,,2018,,
212,77,822,,2019,,
213,77,822,,2020,,
214,77,822,,2021,,
215,77,822,,2022,,
216,77,822,51,2023,,
217,81,857,1,2023,,
218,88,837,,2016,,
219,88,9,,2019,,
220,88,9,,2020,,
221,88,9,,2021,,
222,89,851,,2020,,
223,94,836,,2016,,
224,94,836,,2017,,
225,98,833,,2015,,
226,99,16,,2014,,
227,36,841,,2017,TRUE,
228,99,841,,2019,,
229,99,841,,2020,,
230,99,841,,2021,,
