Number,Driver,Constructor,Season,Sub,Retired
47,838,,2016,1,
2,838,,2017,,
2,838,,2018,,
2,858,Williams,2023,,
3,817,,2014,,
3,817,,2015,,
3,817,,2016,,
3,817,,2017,,
3,817,,2018,,
3,817,,2019,,
3,817,,2020,,
3,817,,2021,,
3,817,,2022,,
3,817,AlphaTauri,2023,,
4,820,,2014,,
4,846,,2019,,
4,846,,2020,,
4,846,,2021,,
4,846,,2022,,
4,846,McLaren,2023,,
1,20,,2014,,
5,20,,2015,,
5,20,,2016,,
5,20,,2017,,
5,20,,2018,,
5,20,,2019,,
5,20,,2020,,
5,20,,2021,,
5,20,,2022,,
6,3,,2014,,
6,3,,2015,,
6,3,,2016,,
6,849,,2020,,
6,849,,2021,,
6,849,,2022,,
7,8,,2014,,
7,8,,2015,,
7,8,,2016,,
7,8,,2017,,
7,8,,2018,,
7,8,,2019,,
7,8,,2020,,
7,8,,2021,,
8,154,,2014,,
8,154,,2015,,
8,154,,2016,,
8,154,,2017,,
8,154,,2018,,
8,154,,2019,,
8,154,,2020,,
9,828,,2014,,
9,828,,2015,,
9,828,,2016,,
9,828,,2017,,
9,828,,2018,,
9,853,,2021,,
10,155,,2014,,
10,842,,2017,,
10,842,,2018,,
10,842,,2019,,
10,842,,2020,,
10,842,,2021,,
10,842,,2022,,
10,842,Alpine,2023,,
11,815,,2014,,
11,815,,2015,,
11,815,,2016,,
11,815,,2017,,
11,815,,2018,,
11,815,,2019,,
11,815,,2020,,
11,815,,2021,,
11,815,,2022,,
11,815,Red Bull Racing,2023,,
12,831,,2015,,
12,831,,2016,,
13,813,,2014,,
13,813,,2015,,
14,4,,2014,,
14,4,,2015,,
14,4,,2016,,
14,4,,2017,,
14,4,,2018,,
14,4,,2019,,
14,4,,2020,,
14,4,,2021,,
14,4,,2022,,
14,4,Aston Martin,2023,,
16,844,,2018,,
16,844,,2019,,
16,844,,2020,,
16,844,,2021,,
16,844,,2022,,
16,844,Ferrari,2023,,
17,824,,2014,,1
18,840,,2017,,
18,840,,2018,,
18,840,,2019,,
18,840,,2020,,
18,840,,2021,,
18,840,,2022,,
18,840,Aston Martin,2023,,
19,13,,2014,,
19,13,,2015,,
19,13,,2016,,
19,13,,2017,,
20,825,,2014,,
20,825,,2015,,
20,825,,2016,,
20,825,,2017,,
20,825,,2018,,
20,825,,2019,,
20,825,,2020,,
20,825,,2021,,
20,825,,2022,,
20,825,Haas,2023,,
21,821,,2014,,
21,821,,2015,,
21,821,,2016,,
45,856,,2022,1,
21,856,AlphaTauri,2023,,
22,18,,2014,,
22,18,,2015,,
22,18,,2016,,
22,18,,2017,,
22,852,,2021,,
22,852,,2022,,
22,852,AlphaTauri,2023,,
23,848,,2019,,
23,848,,2020,,
23,848,,2021,,
23,848,,2022,,
23,848,Williams,2023,,
24,855,,2022,,
24,855,Alfa Romeo Racing,2023,,
25,818,,2014,,
26,826,,2014,,
26,826,,2015,,
26,826,,2016,,
26,826,,2017,,
26,826,,2018,,
26,826,,2019,,
26,826,,2020,,
27,807,,2014,,
27,807,,2015,,
27,807,,2016,,
27,807,,2017,,
27,807,,2018,,
27,807,,2019,,
27,807,,2020,,
27,807,,2021,,
27,807,,2022,,
27,807,Haas,2023,,
46,829,,2014,1,
28,829,,2015,,
39,843,,2017,1,
28,843,,2017,,
28,843,,2018,,
30,835,,2016,,
30,835,,2017,,
31,839,,2016,,
31,839,,2017,,
31,839,,2018,,
31,839,,2019,,
31,839,,2020,,
31,839,,2021,,
31,839,,2022,,
31,839,Alpine,2023,,
33,830,,2015,,
33,830,,2016,,
33,830,,2017,,
33,830,,2018,,
33,830,,2019,,
33,830,,2020,,
33,830,,2021,,
1,830,,2022,,
1,830,Red Bull Racing,2023,,
35,845,,2018,,
44,1,,2014,,
44,1,,2015,,
44,1,,2016,,
44,1,,2017,,
44,1,,2018,,
44,1,,2019,,
44,1,,2020,,
44,1,,2021,,
44,1,,2022,,
44,1,Mercedes,2023,,
47,854,,2021,,
47,854,,2022,,
42,834,,2014,1,
53,834,,2015,,
55,832,,2015,,
55,832,,2016,,
55,832,,2017,,
55,832,,2018,,
55,832,,2019,,
55,832,,2020,,
55,832,,2021,,
55,832,,2022,,
55,832,Ferrari,2023,,
63,847,,2019,,
63,847,,2020,,
63,847,,2021,,
63,847,,2022,,
63,847,Mercedes,2023,,
77,822,,2014,,
77,822,,2015,,
77,822,,2016,,
77,822,,2017,,
77,822,,2018,,
77,822,,2019,,
77,822,,2020,,
77,822,,2021,,
77,822,,2022,,
77,822,Alfa Romeo Racing,2023,,
81,857,McLaren,2023,,
88,837,,2016,,
88,9,,2019,,
88,9,,2020,,
88,9,,2021,,
89,851,,2020,,
94,836,,2016,,
94,836,,2017,,
98,833,,2015,,
99,16,,2014,,
36,841,,2017,1,
99,841,,2019,,
99,841,,2020,,
99,841,,2021,,
